date,bitcoin,btc,cryptocurrency,hodl,blockchain
2018-01-22,26.0,34.0,44.0,20.0,60.0
2018-01-23,24.0,32.0,39.0,17.0,66.0
2018-01-24,22.0,31.0,37.0,16.0,63.0
2018-01-25,21.0,30.0,34.0,15.0,59.0
2018-01-26,21.0,28.0,33.0,13.0,56.0
2018-01-27,18.0,26.0,33.0,10.0,42.0
2018-01-28,17.0,26.0,33.0,10.0,44.0
2018-01-29,18.0,26.0,34.0,11.0,61.0
2018-01-30,19.0,28.0,35.0,11.0,56.0
2018-01-31,21.0,29.0,34.0,15.0,53.0
2018-02-01,27.0,34.0,46.0,24.0,55.0
2018-02-02,37.0,44.0,55.0,37.0,53.0
2018-02-03,24.0,34.0,33.0,18.0,37.0
2018-02-04,21.0,29.0,32.0,18.0,38.0
2018-02-05,36.0,44.0,48.0,28.0,50.0
2018-02-06,45.0,55.0,55.0,42.0,52.0
2018-02-07,29.0,39.0,34.0,27.0,50.0
2018-02-08,24.0,32.0,28.0,17.0,51.0
2018-02-09,21.0,29.0,27.0,11.0,47.0
2018-02-10,16.0,26.0,26.0,11.0,34.0
2018-02-11,15.0,23.0,23.0,8.0,32.0
2018-02-12,17.0,25.0,24.0,9.0,46.0
2018-02-13,15.0,23.0,23.0,6.0,47.0
2018-02-14,16.0,23.0,24.0,4.0,46.0
2018-02-15,17.0,27.0,24.0,8.0,53.0
2018-02-16,15.0,24.0,22.0,7.0,49.0
2018-02-17,14.0,24.0,22.0,8.0,35.0
2018-02-18,15.0,24.0,22.0,8.0,34.0
2018-02-19,14.0,23.0,21.0,6.0,49.0
2018-02-20,15.0,24.0,24.0,8.0,52.0
2018-02-21,15.0,22.0,27.0,6.0,50.0
2018-02-22,14.0,21.0,22.0,7.0,49.0
2018-02-23,13.0,20.0,21.0,7.0,47.0
2018-02-24,11.0,18.0,17.0,6.0,35.0
2018-02-25,10.0,17.0,16.0,4.0,33.0
2018-02-26,11.0,19.0,17.0,6.0,47.0
2018-02-27,12.0,19.0,17.0,5.0,52.0
2018-02-28,11.0,18.0,16.0,5.0,49.0
2018-03-01,10.0,17.0,17.0,7.0,48.0
2018-03-02,10.0,18.0,15.0,5.0,40.0
2018-03-03,10.0,17.0,14.0,6.0,33.0
2018-03-04,9.0,16.0,13.0,4.0,33.0
2018-03-05,10.0,18.0,15.0,4.0,44.0
2018-03-06,10.0,16.0,16.0,5.0,48.0
2018-03-07,12.0,18.0,21.0,7.0,46.0
2018-03-08,12.0,17.0,18.0,6.0,42.0
2018-03-09,13.0,19.0,22.0,6.0,41.0
2018-03-10,9.0,16.0,13.0,2.0,31.0
2018-03-11,9.0,15.0,14.0,4.0,33.0
2018-03-12,10.0,16.0,16.0,12.0,47.0
2018-03-13,10.0,16.0,15.0,13.0,50.0
2018-03-14,12.0,16.0,21.0,10.0,45.0
