date,polarity,log_merit,post,polarity_and_log_merit
2016-01-02,0.12349946782325978,5.203896860794208,102,0.7101896936743586
2016-01-03,0.12134776908998705,5.826352648735806,39,0.7054949221888164
2016-01-04,0.09309664837477336,4.806804840842598,50,0.3860474990742041
2016-01-05,0.12109116503066208,6.209135412432707,59,0.7590356753311688
2016-01-06,0.11571384251833437,5.715966258399188,73,0.6406448554289965
2016-01-07,0.1312641076970078,5.834435435747068,70,0.7640733432224945
2016-01-08,0.08655992468471463,5.501565023609843,35,0.5169723522918347
2016-01-09,0.13656763587719473,6.468400796306554,25,0.8887304573886445
2016-01-10,0.21692892687630275,6.0910676724623585,45,1.3271311487792092
2016-01-11,0.1525086120653723,6.024359378652876,56,0.9113637763272254
2016-01-12,0.2090767539338968,5.660432964405873,30,0.9767037364288975
2016-01-13,0.20648012609134686,5.992657344604405,63,1.2014999030282232
2016-01-14,0.18168702612106596,5.649419572442047,34,1.0028726801594214
2016-01-15,0.06695169368334825,6.046536071512572,150,0.39924077438818717
2016-01-16,0.098058041120365,5.553364082950044,84,0.5634658555415001
2016-01-17,0.1006682034960186,6.4133498175228585,52,0.6686264955404464
2016-01-18,0.08935912928988732,5.710317196285484,49,0.3966653503325496
2016-01-19,0.11438357018903766,5.919958455643596,97,0.7109395144078897
2016-01-20,0.0768119738555753,5.578029524945236,53,0.40666238142581024
2016-01-21,0.13121544428971643,5.9243926883661215,98,0.820878318948285
2016-01-22,0.1355866870297085,5.570164908484556,81,0.7615777432104136
2016-01-23,0.040653024572829766,5.6183649284319275,25,0.1159064008701283
2016-01-24,0.10913477725977726,5.6346454345071475,26,0.6028330091994768
2016-01-25,0.29824972101972097,5.565178498576703,25,1.5487545758240622
2016-01-26,0.12836751185487902,6.258387656847387,58,0.7776670631353484
2016-01-27,0.09866551408410976,6.169308006277148,27,0.5702943190562999
2016-01-28,0.09779087989649483,5.605605135520532,22,0.6948006696713164
2016-01-29,0.12026943738374349,5.34215270872371,97,0.6263991940567224
